0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His_Glu,dist_His_Glu2,sasaSer,sasaSer133,sasaLig
82,-11518.140363636367,-9.183673018181818,22.82045454545454,22.551261818181814,22.742921818181813,2.831172545454545,1.5825509090909093,3.030499454545454,11.442592000000001,11.790303818181819,11.005868000000001,4.6800654545454545,1.609795090909091,2.5572830909090913,0.00950909090909091,0.041381818181818186,0.6923518181818181
83,-11590.86551020408,-53.94759871428572,20.603592857142857,21.42742142857142,19.23485,2.8308813265306125,1.58656806122449,3.06926418367347,8.459835714285715,6.748986836734695,6.431202857142858,4.152960510204081,2.1543068367346936,2.5293095918367348,0.0125204081632653,0.0034081632653061226,0.4924737959183673
84,-11498.182400000002,-13.4820231,22.910484,22.606905999999995,23.07905,2.832955800000001,1.5813211999999999,3.0269351999999996,11.594194600000002,12.079341599999998,11.2347538,4.5314612,1.8844368,2.5905384,0.01352,0.00116,0.6266872800000001
85,-11546.887777777778,-23.819276333333335,20.85654166666667,21.856831944444444,21.167591666666667,2.8270095833333335,1.58219,3.050373472222222,8.809058472222224,9.997330416666667,10.67482875,4.692465972222223,2.3941691666666665,3.238802222222222,0.008416666666666668,0.049569444444444444,0.6125250138888889
86,-11517.932499999999,-11.757007678571428,20.377662500000003,21.59088928571429,20.947208928571428,2.8450637500000004,1.588905892857143,3.063171964285715,8.466206071428571,9.798797500000001,10.3084525,4.8290628571428575,2.608440714285714,3.5592355357142855,0.023892857142857143,0.044446428571428574,0.6812775714285715
87,-11513.814642857144,-13.693159832142856,22.23830892857143,21.015112499999997,22.81482857142857,2.832328035714286,1.5867721428571429,3.038790357142857,11.254425178571429,12.586305357142859,11.766784107142858,4.323535,1.9854610714285716,2.559972678571429,0.018107142857142856,0.0017678571428571428,0.663550625
88,-11551.750679611647,-28.979940436893212,22.73418932038836,22.31366310679612,21.914009708737854,2.8257124271844645,1.585582621359223,3.059652427184467,11.40511737864078,10.647999514563102,9.310846019417475,4.696871456310681,3.41351281553398,3.500866601941747,0.01041747572815533,0.0001650485436893204,0.5704123398058253
89,-11537.757701149427,-4.282877028735632,27.488179310344826,26.659868965517244,29.287380459770123,2.830873218390805,1.5825101149425285,3.0521341379310343,15.399555862068969,17.47116540229885,16.821214137931033,4.823589540229885,4.101576666666666,3.3977173563218384,0.01074712643678161,0.07997701149425286,0.7166065172413794
90,-11579.785287356326,-41.91750248275862,23.237855172413802,22.296545977011494,23.281178160919552,2.8298887356321845,1.5863206896551727,3.063831609195401,10.862594597701154,11.71058655172414,9.808835402298847,4.390595057471263,2.8360998850574712,1.7730568965517253,0.010965517241379308,0.0516896551724138,0.5628104252873564
91,-11544.0136,-20.561366133333337,21.717812000000002,19.88646533333333,22.533230666666668,2.820980266666666,1.5801521333333337,3.056290533333333,10.409269866666667,11.584304800000002,10.167343733333334,4.678878399999999,1.5927964000000003,2.5333508,0.008613333333333336,0.025226666666666665,0.6385445866666666
